symbol,arm,long_thr,exit_thr,n_trades,total_return,sharpe,max_dd,pct_time_in_market
CAC40,risk_long_dir,55.0,35.0,0,0.0,0.0,0.0,0.0
CAC40,risk_long_dir,55.0,45.0,0,0.0,0.0,0.0,0.0
CAC40,vol_long_inv,-45.0,-65.0,34,0.04437572734674533,0.32861576870500814,-0.03495864808581106,0.03712387651426338
CAC40,vol_long_inv,-55.0,-65.0,36,0.0011873010501373127,0.015365732666814146,-0.03619153290125199,0.037905431809300505
CAC40,risk_long_dir,65.0,35.0,0,0.0,0.0,0.0,0.0
CAC40,risk_long_dir,65.0,45.0,0,0.0,0.0,0.0,0.0
CAC40,risk_long_dir,65.0,55.0,0,0.0,0.0,0.0,0.0
CAC40,risk_long_inv,-45.0,-55.0,1,0.003462959945445876,0.09513565229257524,-0.00989861500164202,0.005861664712778429
CAC40,risk_long_inv,-35.0,-45.0,2,0.024227702255797734,0.40257701013899916,-0.011073307424278256,0.017194216490816726
CAC40,risk_long_inv,-35.0,-55.0,2,0.024227702255797734,0.40257701013899916,-0.011073307424278256,0.017194216490816726
CAC40,risk_long_inv,-45.0,-65.0,1,0.003462959945445876,0.09513565229257524,-0.00989861500164202,0.005861664712778429
CAC40,risk_long_inv,-55.0,-65.0,1,0.003462959945445876,0.09513565229257524,-0.00989861500164202,0.005861664712778429
CAC40,risk_long_inv,-35.0,-65.0,2,0.024227702255797734,0.40257701013899916,-0.011073307424278256,0.017194216490816726
CAC40,vol_long_dir,65.0,55.0,61,-0.10991349119049265,-0.381698616055738,-0.15146370311580182,0.20203204376709652
IBEX35,trend_long,45.0,35.0,29,0.0077713388387454785,0.055078483892453046,-0.07011375710496515,0.11502347417840375
IBEX35,trend_long,55.0,45.0,46,0.006577893242422306,0.0413978332980519,-0.11671724228972069,0.1643192488262911
IBEX35,trend_long,55.0,35.0,41,0.01492373921827439,0.079345711995138,-0.110004755131211,0.17253521126760563
IBEX35,trend_long,65.0,35.0,39,-0.01042851485659535,-0.03834342580974185,-0.1183253476237679,0.16392801251956182
IBEX35,trend_long,65.0,45.0,39,-0.002604175229849681,-0.0017429251681204737,-0.11135412621727725,0.16314553990610328
IBEX35,trend_long,65.0,55.0,40,-0.009992163416212119,-0.03716424591499742,-0.11199245385367729,0.1607981220657277
IBEX35,structure_long,65.0,35.0,0,0.0,0.0,0.0,0.0
IBEX35,structure_long,65.0,45.0,0,0.0,0.0,0.0,0.0
IBEX35,structure_long,65.0,55.0,0,0.0,0.0,0.0,0.0
IBEX35,structure_long,55.0,35.0,115,-0.3672874569752914,-1.1608606199099647,-0.39583564417864125,0.33998435054773085
IBEX35,structure_long,45.0,35.0,95,0.0024112640784816897,0.024770697865146126,-0.15781034215940826,0.42527386541471046
IBEX35,structure_long,55.0,45.0,120,-0.34313962757876904,-1.1194915049417928,-0.35801153199105606,0.29107981220657275
IBEX35,momentum_long,45.0,35.0,142,-0.04709556590093511,-0.10818937607159877,-0.14817415804667866,0.4503129890453834
IBEX35,momentum_long,55.0,35.0,135,-0.13314481117518995,-0.344827478883881,-0.1938559915478516,0.47104851330203446
IBEX35,momentum_long,55.0,45.0,143,-0.06931353523158612,-0.16869763546767022,-0.15554971910465631,0.452660406885759
IBEX35,momentum_long,65.0,35.0,127,-0.2010701076820166,-0.5322478457066073,-0.22938543571965175,0.4565727699530516
IBEX35,confidence_long,45.0,35.0,58,-0.05865042183910629,-0.2631715215748626,-0.14519515645623038,0.18974960876369326
IBEX35,momentum_long,65.0,45.0,128,-0.12276571293225313,-0.31156271998393725,-0.18766273486586038,0.4417057902973396
IBEX35,confidence_long,55.0,35.0,69,-0.01991779041640296,-0.055374949292935974,-0.11496951980502335,0.29460093896713613
IBEX35,momentum_long,65.0,55.0,143,-0.025034222703337994,-0.051190133561419375,-0.1500453253485352,0.41118935837245696
