arm,long_thr,exit_thr,symbol,window,n_trades,total_return,sharpe,max_dd
trend_long,70.0,40.0,IBEX35,2,9,-0.03258980643647047,-0.6509302242167592,-0.04484912086474968
trend_long,70.0,40.0,FTSE250,1,9,-0.04279670086078258,-0.9322520221323214,-0.05130767857457341
trend_long,70.0,40.0,CAC40,3,23,-0.10307890114304397,-1.0732538495825568,-0.11344637525210732
trend_long,70.0,40.0,FTSE250,0,8,0.06392297262795155,1.3243933536218115,-0.014290959896751665
trend_long,70.0,40.0,FTSE250,2,6,0.03782569762802157,0.7086850452964502,-0.023238132468036743
trend_long,70.0,40.0,IBEX35,3,17,0.026430719417972037,0.29688549151351384,-0.05164825840999443
trend_long,70.0,40.0,FTSE250,3,15,-0.03601546088250995,-0.47718387126334494,-0.047548433709834415
trend_long,70.0,40.0,UK100_ETF,1,13,-0.08311370440130472,-1.4477484462114296,-0.08705454858072426
trend_long,70.0,40.0,UK100_ETF,0,14,-0.03153204294177303,-0.5915023487295721,-0.0444588553436428
trend_long,70.0,40.0,UK100_ETF,2,9,-0.012295511883835153,-0.24038414688370008,-0.034005088185234955
trend_long,70.0,50.0,UK100,1,11,-0.06613952306253379,-1.30736737490239,-0.06613952306253379
trend_long,70.0,50.0,UK100,0,15,-0.027453453445453135,-0.4946097032300756,-0.0673956521153779
trend_long,70.0,50.0,UK100,2,12,-0.059980910035213886,-1.2867527744744514,-0.06302325973564926
trend_long,70.0,50.0,DAX40,0,8,0.0022959782251408267,0.06946573955645527,-0.022280953562406114
trend_long,70.0,40.0,UK100_ETF,3,25,-0.07460416281419935,-0.7037074206781835,-0.11777379492274442
trend_long,70.0,50.0,DAX40,1,7,0.016733384436495635,0.36973346533113743,-0.026085677097141158
