name,require_risk_filter,T_enter,C_enter,R_max,symbol,window,n_trades,total_return,sharpe,max_dd
composite_T50_C70_noR,False,50.0,70.0,99.0,IBEX35,2,30,-0.0680512430816379,-1.172679739021001,-0.07473220875166042
composite_T50_C70_noR,False,50.0,70.0,99.0,CAC40,3,69,-0.12184487768705876,-0.9678161647489107,-0.14285853727318787
composite_T50_C70_noR,False,50.0,70.0,99.0,FTSE250,1,31,-0.08022080331434878,-1.3301650576374942,-0.08022080331434878
composite_T50_C70_noR,False,50.0,70.0,99.0,FTSE250,0,37,0.040330907356075585,0.5117012199057513,-0.04502550368462688
composite_T50_C70_noR,False,50.0,70.0,99.0,FTSE250,2,33,-0.005656726119967259,-0.06417489062307861,-0.026009297481267568
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100_ETF,1,28,-0.08742844106186398,-1.477993918352495,-0.08742844106186398
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100_ETF,0,42,-0.08784716140125837,-1.3162581124275146,-0.09944090071225398
composite_T50_C70_noR,False,50.0,70.0,99.0,IBEX35,3,85,0.044319805571429116,0.27821029087868354,-0.05938326239902514
composite_T50_C70_noR,False,50.0,70.0,99.0,FTSE250,3,63,-0.10523603982081309,-0.839017771993725,-0.11574970921511818
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100,1,6,-0.02081651835806697,-0.4899265607036349,-0.029327933665603045
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100,0,13,-0.06392984071934937,-1.1011526095438329,-0.09486403558033851
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100_ETF,2,43,-0.08718836996440804,-1.4190183228428797,-0.08869792998638204
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100,2,15,-0.07128776853483254,-1.0350573040664435,-0.07877756516708911
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,DAX40,0,12,-0.01295882115540714,-0.19816783276409125,-0.047506718761095024
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,DAX40,1,5,-0.01784397056776199,-0.45284074034894967,-0.04180419620288034
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,DAX40,2,22,-0.17887329163837606,-2.3301948367270815,-0.19413453949947423
composite_T50_C70_noR,False,50.0,70.0,99.0,UK100_ETF,3,78,-0.05845064997061822,-0.41939169316835334,-0.10287312729709319
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100,3,31,-0.04979739636014513,-0.3564418781586065,-0.07507219061511605
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,CAC40,0,10,-0.03984336985656556,-0.7695470832906053,-0.048524563043863767
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,CAC40,1,9,-0.08664446264648062,-1.5208199056894327,-0.09025807268899755
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,CAC40,2,12,-0.041169046496232986,-0.6761155389690963,-0.04633762682513598
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,DAX40,3,30,-0.010927702286299246,-0.06921982182372534,-0.0682537368698869
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,IBEX35,0,9,-0.0034148948824466174,-0.04925894922549078,-0.0399286427372062
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,IBEX35,1,9,-0.0844387343348082,-1.9177186988243173,-0.08727340606308609
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,IBEX35,2,10,-0.04337169686326181,-0.8795191337993207,-0.05205142050899514
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,CAC40,3,22,-0.07866262091071752,-0.7424849587296639,-0.08819583390967134
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,FTSE250,0,12,0.010003574867003096,0.18505685835820712,-0.040986213042473074
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,FTSE250,1,13,-0.0758743864097523,-1.4873198976582165,-0.0849458097702438
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,FTSE250,2,11,-0.021866935512391716,-0.39662855079444975,-0.03429633261083609
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100_ETF,0,12,-0.07865814892200962,-1.2334758413773936,-0.10145951859426405
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100_ETF,1,9,-0.048393957568447,-0.9315961154941693,-0.048393957568447
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,IBEX35,3,30,0.04864407988015862,0.36807990259689455,-0.042907111481861326
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,FTSE250,3,21,-0.017673174550341564,-0.14974000928832362,-0.0451616889201617
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100_ETF,2,12,-0.05679593203008593,-0.8424289892709405,-0.07149528693483465
composite_T50_C70_Rmax15,True,50.0,70.0,15.0,UK100,1,18,-0.1043888441951063,-1.550431677016542,-0.1043888441951063
composite_T50_C70_Rmax15,True,50.0,70.0,15.0,UK100,0,30,-0.10584264552414224,-1.3179937934375314,-0.11573935368974686
composite_T50_C70_Rmax5,True,50.0,70.0,5.0,UK100_ETF,3,31,-0.03320535518744416,-0.28373125109899194,-0.05612282382790579
